Combined_Key,Last_Update,Confirmed,Deaths
"Nagasaki, Japan",2022-04-21 04:20:46,41913,119
"Nara, Japan",2022-04-21 04:20:46,80909,360
"Niigata, Japan",2022-04-21 04:20:46,55969,91
"Oita, Japan",2022-04-21 04:20:46,40027,148
"Okayama, Japan",2022-04-21 04:20:46,74478,231
"Okinawa, Japan",2022-04-21 04:20:46,147348,443
"Osaka, Japan",2022-04-21 04:20:46,867495,4889
"Port Quarantine, Japan",2021-11-10 23:21:44,4463,4
"Saga, Japan",2022-04-21 04:20:46,40613,95
"Saitama, Japan",2022-04-21 04:20:46,490253,1427
"Shiga, Japan",2022-04-21 04:20:46,77509,204
"Shimane, Japan",2022-04-21 04:20:46,12132,14
"Shizuoka, Japan",2022-04-21 04:20:46,139980,393
"Tochigi, Japan",2022-04-21 04:20:46,74901,263
"Tokushima, Japan",2022-04-21 04:20:46,18047,79
"Tokyo, Japan",2022-04-21 04:20:46,1389824,4284
"Tottori, Japan",2022-04-21 04:20:46,11167,14
"Toyama, Japan",2022-04-21 04:20:46,30883,90
"Unknown, Japan",2021-11-10 23:21:44,8,0
"Wakayama, Japan",2022-04-21 04:20:46,33741,111
"Yamagata, Japan",2022-04-21 04:20:46,21390,85
"Yamaguchi, Japan",2022-04-21 04:20:46,34690,172
"Yamanashi, Japan",2022-04-21 04:20:46,27381,66
Jordan,2022-04-21 04:20:46,1695432,14059
Kazakhstan,2022-04-21 04:20:46,1394267,19013
Kenya,2022-04-21 04:20:46,323646,5649
Kiribati,2022-04-21 04:20:46,3076,13
"Korea, South",2022-04-21 04:20:46,16674045,21667
Kosovo,2022-04-21 04:20:46,227902,3138
Kuwait,2022-04-21 04:20:46,631076,2555
Kyrgyzstan,2022-04-21 04:20:46,200982,2991
Laos,2022-04-21 04:20:46,202542,730
Latvia,2022-04-21 04:20:46,814400,5724
Lebanon,2022-04-21 04:20:46,1095959,10368
Lesotho,2022-04-21 04:20:46,32968,697
Liberia,2022-04-21 04:20:46,7432,294
Libya,2022-04-21 04:20:46,501862,6429
